,STATE_NAME,abr,category,job_post,state
0,,,VIC,,
1,Victoria,M&C,Management and Commerce,2842.0,VIC
2,Victoria,IT,Information Technology,443.0,VIC
3,Victoria,S&C,Society and Culture,385.0,VIC
4,Victoria,H,Health,360.0,VIC
5,Victoria,EN,Engineering,216.0,VIC
6,Victoria,A&B,Architecture and Building,367.0,VIC
7,Victoria,ED,Education,224.0,VIC
8,Victoria,F&H,Food and Hospitality,364.0,VIC
9,Victoria,A&E,Agriculture and Environment,16.0,VIC
10,Victoria,CA,Creative Arts,32.0,VIC
11,Victoria,N&P,Natural and Physical Sciences,34.0,VIC
